URL,Date,Guidelines,Conformance Level,Criterion ID,Criterion Title (ENG),Occurrences (Success),Occurrences (Failure),Occurrences (Warning),Result
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.1.1"",""Non-text Content"",7,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.2.1"",""Audio-only and Video-only (Prerecorded)"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.2.2"",""Captions (Prerecorded)"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.2.3"",""Audio Description or Media Alternative (Prerecorded)"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.2.4"",""Captions (Live)"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.2.5"",""Audio Description (Prerecorded)"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.3.1"",""Info and Relationships"",48,14,11,""Failed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.3.2"",""Meaningful Sequence"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.3.3"",""Sensory Characteristics"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.3.4"",""Orientation"",1,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.3.5"",""Identify Input Purpose"",5,26,0,""Failed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.4.1"",""Use of Color"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.4.2"",""Audio Control"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'1.4.3"",""Contrast (Minimum)"",157,0,0,""Passed"""
